Anmälda brott;;Brottsförebyggande rådet;;;;;;
;;;;;;;;
;År;År;År;År;År;År;År;År
;2005;2006;2007;2008;2009;2010;2011;2012
;Antal;Antal;Antal;Antal;Antal;Antal;Antal;Antal
Blekinge län;;;;;;;;
Totalt antal brott;15740;16128;17635;18634;18880;16765;16990;17214
Dalarnas län;;;;;;;;
Totalt antal brott;32063;29672;31049;32247;32750;31580;30493;31121
Gotlands län;;;;;;;;
Totalt antal brott;7008;7292;7396;7836;7226;8519;7210;7941
Gävleborgs län;;;;;;;;
Totalt antal brott;31015;30006;31435;33550;32501;32410;30530;30999
Hallands län;;;;;;;;
Totalt antal brott;34753;33920;36906;37833;35929;33755;35403;35079
Jämtlands län;;;;;;;;
Totalt antal brott;13202;13500;14699;15147;14288;15744;15175;13232
Jönköpings län;;;;;;;;
Totalt antal brott;34040;32497;37313;38045;37731;35995;36721;35969
Kalmar län;;;;;;;;
Totalt antal brott;26474;23908;25707;26463;26353;25205;25710;25246
Kronobergs län;;;;;;;;
Totalt antal brott;22641;19226;21428;21218;22180;20732;24584;27470
Norrbottens län;;;;;;;;
Totalt antal brott;28074;26705;27742;27122;29059;27903;26781;25321
Skåne län;;;;;;;;
Totalt antal brott;181628;180286;188430;200143;213358;206539;223658;210575
Stockholms län;;;;;;;;
Totalt antal brott;335992;336527;366665;397661;404055;395899;416015;414308
Södermanlands län;;;;;;;;
Totalt antal brott;34632;34980;37517;41365;41525;38786;43720;42254
Uppsala län;;;;;;;;
Totalt antal brott;34459;34297;37719;42172;43922;40791;42371;43097
Värmlands län;;;;;;;;
Totalt antal brott;29076;29552;31482;31784;31938;30439;31095;32902
Västerbottens län;;;;;;;;
Totalt antal brott;23191;24247;25035;24604;25877;25986;25657;23996
Västernorrlands län;;;;;;;;
Totalt antal brott;28294;29587;30256;31200;30078;30278;28569;28373
Västmanlands län;;;;;;;;
Totalt antal brott;38341;37929;36871;42080;39889;38768;38400;35983
Västra Götalands län;;;;;;;;
Totalt antal brott;199789;193879;208530;213564;221180;221708;219983;225424
Örebro län;;;;;;;;
Totalt antal brott;37769;38978;38597;40317;39945;39427;41799;41511
Östergötlands län;;;;;;;;
Totalt antal brott;53662;51842;53912;54869;56962;53170;55416;54573
;;;;;;;;
;;;;;;;;
Totalt antal brott;;;;;;;;
"Här redovisas summan av alla anmälda brott för vald period och vald region. En och samma brottstyp kan i vissa fall redovisas under mer än en brottskategori. Det innebär att om alla brottskategorier väljs så blir summan av dessa brott något högre än vad som redovisas under ""Totalt antal brott"".<BR> <BR> Från och med oktober 2010 pilotdriftsatte Polisen ett nytt utredningssystem i Östergötlands län. Pilotdriften omfattar brottstyperna knivlagen, snatteri/stöld och olovligkörning/grov olovlig körning. Endast en mindre del av dessa brott kommer att omfatta pilotdriften. De brott som registreras via det nya systemet ingår inte i statistiken. Bedömningen är att bortfallet har marginell påverkan på statistiken
";;;;;;;;
Jönköpings län;;;;;;;;
Kommunerna Habo och Mullsjö tillhörde till och med 1997-12-31 Skaraborgs län, som slogs samman med Göteborgs- och Bohus samt Älvsborgs län till Västra Götalands län. Uppgifter för dessa kommuner, som avser tiden till och med 1997-12-31, redovisas också under Jönköpings län.;;;;;;;;
Skåne län;;;;;;;;
Detta län bildades 1997-01-01 genom en sammanslagning av Kristianstads och Malmöhus län. Även för åren före länssammanslagningen, det vill säga för åren 1975-1996, redovisas dessa län sammanslaget på Skåne län i databasen.;;;;;;;;
Västra Götalands län;;;;;;;;
Detta län bildades 1998-01-01 genom en sammanslagning av Göteborgs- och Bohus, Älvsborgs och Skaraborgs län. Även för åren innan dessa län slogs samman till ett län, det vill säga för åren 1975-1997, redovisas de sammanslaget på Västra Götaland i databasen. Kommunerna Habo och Mullsjö tillhörde till och med 1997-12-31 Skaraborgs län, och uppgifter för dessa kommuner, som avser tiden till och med 1997-12-31, redovisas också under Jönköpings län.;;;;;;;;