Förlossningsstatistik, Antal, Alla förlossningar, Ålder: -24 år, 25-29 år, 30-34 år och 35+ år, Totalt;;;;;;;;;;;;;;;
Landsting;Ålder;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Stockholm;­24 år;2282;2322;2406;2387;2257;2427;2630;2517;2758;2692;2655;2622;2424;2425
Stockholm;25­29 år;5853;5997;6037;5918;5929;5801;6209;6203;6875;6723;6688;7068;7379;7268
Stockholm;30­34 år;8400;8977;10087;10083;9991;9920;10033;9594;10710;10177;10596;10834;10903;10652
Stockholm;35+ år;5073;5502;6196;6483;6583;6913;7261;7397;8376;8159;8056;8104;8100;8078
Uppsala;­24 år;464;457;449;409;449;485;503;547;563;556;544;533;527;556
Uppsala;25­29 år;1163;1130;1099;1093;1090;1097;1150;1124;1168;1137;1114;1115;1203;1293
Uppsala;30­34 år;1202;1302;1372;1366;1455;1477;1474;1431;1440;1343;1441;1343;1327;1351
Uppsala;35+ år;718;715;827;768;833;874;944;898;977;869;953;887;821;924
Södermanland;­24 år;524;505;525;500;515;598;543;552;553;566;598;550;616;567
Södermanland;25­29 år;874;876;782;820;816;856;911;841;870;836;857;953;997;1072
Södermanland;30­34 år;781;834;870;865;888;872;791;801;872;840;849;895;873;904
Södermanland;35+ år;449;454;427;421;476;516;493;598;493;506;518;503;546;516
Östergötland;­24 år;764;712;672;685;722;735;799;776;853;796;853;826;880;816
Östergötland;25­29 år;1475;1493;1448;1403;1422;1372;1376;1519;1548;1454;1630;1532;1699;1850
Östergötland;30­34 år;1354;1415;1507;1598;1592;1647;1581;1614;1612;1576;1630;1631;1522;1583
Östergötland;35+ år;637;720;696;716;766;825;832;882;918;907;947;941;921;919
Jönköping;­24 år;566;571;576;609;597;655;639;702;719;708;648;676;634;683
Jönköping;25­29 år;1336;1247;1300;1163;1243;1202;1305;1319;1373;1405;1365;1389;1464;1561
Jönköping;30­34 år;1121;1155;1270;1248;1234;1281;1208;1219;1231;1251;1166;1256;1266;1256
Jönköping;35+ år;493;552;567;551;603;629;672;664;687;657;669;638;639;669
Kronoberg;­24 år;305;281;307;266;321;294;302;335;323;299;341;326;357;351
Kronoberg;25­29 år;657;644;674;627;693;571;592;611;650;584;624;660;662;671
Kronoberg;30­34 år;597;636;628;611;656;630;585;586;604;586;668;629;635;623
Kronoberg;35+ år;256;287;308;324;334;350;328;342;349;342;353;351;363;332
Kalmar;­24 år;316;346;355;330;371;391;392;436;450;439;399;438;395;426
Kalmar;25­29 år;759;730;709;696;707;686;662;730;772;717;845;800;829;888
Kalmar;30­34 år;688;641;677;728;701;733;655;678;688;613;714;647;720;730
Kalmar;35+ år;309;356;328;335;370;359;413;381;388;380;404;385;370;388
Gotland;­24 år;90;89;58;79;73;75;97;99;100;82;105;97;79;74
Gotland;25­29 år;171;154;152;143;158;137;157;161;148;147;161;158;148;156
Gotland;30­34 år;190;196;180;190;200;175;163;186;184;174;170;166;175;138
Gotland;35+ år;108;113;93;116;99;100;135;125;150;131;135;116;123;129
Blekinge;­24 år;221;202;219;225;220;281;232;296;297;316;309;305;282;298
Blekinge;25­29 år;572;528;539;502;510;435;503;504;484;480;451;479;528;525
Blekinge;30­34 år;509;469;496;506;563;531;465;499;475;439;463;418;462;477
Blekinge;35+ år;196;207;202;248;265;268;254;256;282;239;244;273;277;248
Skåne;­24 år;1812;1856;1794;1801;2012;2109;2268;2392;2481;2413;2358;2273;2190;2119
Skåne;25­29 år;3816;3851;3876;3610;3946;3916;4199;4226;4498;4395;4410;4503;4762;4974
Skåne;30­34 år;4050;4257;4410;4500;4943;4962;4947;5146;5256;5012;5086;5256;5097;5176
Skåne;35+ år;2068;2337;2368;2340;2661;2849;2967;3156;3221;3207;3148;3047;3300;3302
Halland;­24 år;436;387;413;439;434;472;512;482;467;512;487;495;483;498
Halland;25­29 år;1063;1079;971;985;984;1047;1042;1056;1092;1034;1019;1196;1291;1317
Halland;30­34 år;1110;1156;1277;1262;1417;1347;1333;1284;1245;1220;1239;1219;1332;1294
Halland;35+ år;564;605;656;654;694;742;726;777;832;770;754;782;802;768
Västra Götaland;­24 år;2378;2304;2329;2333;2379;2419;2584;2664;2922;2715;2735;2788;2599;2477
Västra Götaland;25­29 år;5193;5141;5191;5022;5159;5372;5134;5511;5599;5381;5625;5592;5952;6164
Västra Götaland;30­34 år;5424;5787;5883;6122;6393;6347;6291;6567;6650;6301;6362;6263;6394;6368
Västra Götaland;35+ år;2756;3054;3198;3240;3484;3653;3655;3952;4102;4031;3853;3850;3784;3919
Värmland;­24 år;389;403;379;405;410;423;429;467;519;471;474;469;470;489
Värmland;25­29 år;773;760;803;729;768;818;770;846;840;738;802;859;870;989
Värmland;30­34 år;722;793;787;895;870;816;778;814;798;753;812;770;783;823
Värmland;35+ år;383;437;443;482;467;519;472;517;549;495;518;439;448;449
Örebro;­24 år;536;560;490;534;530;592;626;682;642;666;634;592;566;642
Örebro;25­29 år;1008;1011;977;925;961;975;1050;1091;1109;1091;1069;1117;1117;1237
Örebro;30­34 år;921;995;963;1000;1037;1092;1058;952;1062;1063;1029;1011;1057;1058
Örebro;35+ år;443;453;492;492;512;577;582;621;661;650;612;619;612;572
Västmanland;­24 år;478;427;465;434;445;484;491;533;536;537;560;486;523;467
Västmanland;25­29 år;859;858;808;824;783;801;776;737;852;843;906;930;997;1011
Västmanland;30­34 år;795;881;852;902;875;828;781;842;839;813;850;872;840;867
Västmanland;35+ år;367;443;445;430;493;462;492;464;509;522;504;505;515;515
Dalarna;­24 år;446;482;469;473;449;529;530;528;533;620;556;517;551;582
Dalarna;25­29 år;848;883;908;888;831;824;855;802;883;814;900;822;986;1106
Dalarna;30­34 år;843;836;895;875;898;856;875;839;851;845;800;731;887;878
Dalarna;35+ år;461;455;453;539;507;543;500;551;536;509;496;444;488;533
Gävleborg;­24 år;456;423;428;425;464;485;475;594;584;604;639;578;611;558
Gävleborg;25­29 år;915;881;831;780;824;833;814;807;865;842;900;878;965;1060
Gävleborg;30­34 år;779;885;867;881;907;861;817;811;834;782;727;769;808;848
Gävleborg;35+ år;385;458;452;468;522;525;482;567;543;504;542;530;476;486
Västernorrland;­24 år;376;368;377;380;383;425;409;461;510;413;479;454;427;483
Västernorrland;25­29 år;805;838;843;724;783;777;726;703;779;747;758;769;748;885
Västernorrland;30­34 år;810;782;818;798;831;780;771;751;778;779;723;759;737;758
Västernorrland;35+ år;355;433;437;433;441;474;463;470;501;466;420;429;440;435
Jämtland;­24 år;154;173;192;171;177;200;225;214;222;222;236;188;217;200
Jämtland;25­29 år;346;390;323;351;348;368;339;392;417;381;353;348;402;450
Jämtland;30­34 år;422;418;459;445;462;401;442;396;435;409;355;432;397;398
Jämtland;35+ år;226;249;273;240;246;279;275;283;318;285;308;280;287;313
Västerbotten;­24 år;409;375;347;383;435;381;447;444;472;428;437;428;436;408
Västerbotten;25­29 år;913;882;858;928;968;887;955;1003;906;908;962;954;920;1063
Västerbotten;30­34 år;826;925;857;899;953;962;995;1011;911;964;929;1024;902;951
Västerbotten;35+ år;395;433;456;460;482;486;463;539;488;550;547;549;533;505
Norrbotten;­24 år;367;398;412;378;402;442;427;474;453;512;496;519;452;416
Norrbotten;25­29 år;747;728;776;710;732;734;722;711;764;728;730;769;844;839
Norrbotten;30­34 år;708;728;782;727;801;700;718;705;702;712;642;696;701;660
Norrbotten;35+ år;396;390;452;435;480;474;446;457;496;463;445;445;423;400
Socialstyrelsens statistikdatabas 2017-04-21;;;;;;;;;;;;;;;